2017-05-24 08:09:29 status unpacked libselinux1:armhf 2.1.9-5
2017-05-24 08:09:29 install libsemanage-common:all <none> 2.1.6-6
2017-05-24 08:09:29 status half-installed libsemanage-common:all 2.1.6-6
2017-05-24 08:09:29 status unpacked libsemanage-common:all 2.1.6-6
2017-05-24 08:09:29 status unpacked libsemanage-common:all 2.1.6-6
2017-05-24 08:09:29 install libsemanage1:armhf <none> 2.1.6-6
2017-05-24 08:09:29 status half-installed libsemanage1:armhf 2.1.6-6
2017-05-24 08:09:29 status unpacked libsemanage1:armhf 2.1.6-6
2017-05-24 08:09:29 status unpacked libsemanage1:armhf 2.1.6-6
2017-05-24 08:09:29 install libsepol1:armhf <none> 2.1.4-3
2017-05-24 08:09:29 status half-installed libsepol1:armhf 2.1.4-3
2017-05-24 08:09:29 status unpacked libsepol1:armhf 2.1.4-3
2017-05-24 08:09:29 status unpacked libsepol1:armhf 2.1.4-3
2017-05-24 08:09:29 install libtext-charwidth-perl:armhf <none> 0.04-7+b2
2017-05-24 08:09:29 status half-installed libtext-charwidth-perl:armhf 0.04-7+b2
2017-05-24 08:09:29 status unpacked libtext-charwidth-perl:armhf 0.04-7+b2
2017-05-24 08:09:29 status unpacked libtext-charwidth-perl:armhf 0.04-7+b2
2017-05-24 08:09:29 install libtext-iconv-perl:armhf <none> 1.7-5
2017-05-24 08:09:29 status half-installed libtext-iconv-perl:armhf 1.7-5
2017-05-24 08:09:29 status unpacked libtext-iconv-perl:armhf 1.7-5
2017-05-24 08:09:29 status unpacked libtext-iconv-perl:armhf 1.7-5
2017-05-24 08:09:29 install libtext-wrapi18n-perl:all <none> 0.06-7
2017-05-24 08:09:29 status half-installed libtext-wrapi18n-perl:all 0.06-7
2017-05-24 08:09:29 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-05-24 08:09:29 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-05-24 08:09:30 install lsb-base:all <none> 4.1+Debian8+deb7u1
2017-05-24 08:09:30 status half-installed lsb-base:all 4.1+Debian8+deb7u1
2017-05-24 08:09:30 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2017-05-24 08:09:30 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2017-05-24 08:09:30 upgrade mawk:armhf 1.3.3-17 1.3.3-17
2017-05-24 08:09:30 status half-configured mawk:armhf 1.3.3-17
2017-05-24 08:09:30 status unpacked mawk:armhf 1.3.3-17
2017-05-24 08:09:30 status half-installed mawk:armhf 1.3.3-17
2017-05-24 08:09:30 status half-installed mawk:armhf 1.3.3-17
2017-05-24 08:09:30 status unpacked mawk:armhf 1.3.3-17
2017-05-24 08:09:30 status unpacked mawk:armhf 1.3.3-17
2017-05-24 08:09:30 install libncurses5:armhf <none> 5.9-10
2017-05-24 08:09:30 status half-installed libncurses5:armhf 5.9-10
2017-05-24 08:09:30 status unpacked libncurses5:armhf 5.9-10
2017-05-24 08:09:30 status unpacked libncurses5:armhf 5.9-10
2017-05-24 08:09:30 install libtinfo5:armhf <none> 5.9-10
2017-05-24 08:09:30 status half-installed libtinfo5:armhf 5.9-10
2017-05-24 08:09:30 status unpacked libtinfo5:armhf 5.9-10
2017-05-24 08:09:30 status unpacked libtinfo5:armhf 5.9-10
2017-05-24 08:09:30 install ncurses-base:all <none> 5.9-10
2017-05-24 08:09:30 status half-installed ncurses-base:all 5.9-10
2017-05-24 08:09:30 status unpacked ncurses-base:all 5.9-10
2017-05-24 08:09:30 status unpacked ncurses-base:all 5.9-10
2017-05-24 08:09:30 install ncurses-bin:armhf <none> 5.9-10
2017-05-24 08:09:30 status half-installed ncurses-bin:armhf 5.9-10
2017-05-24 08:09:30 status unpacked ncurses-bin:armhf 5.9-10
2017-05-24 08:09:30 status unpacked ncurses-bin:armhf 5.9-10
2017-05-24 08:09:31 install libpam-modules:armhf <none> 1.1.3-7.1
2017-05-24 08:09:31 status half-installed libpam-modules:armhf 1.1.3-7.1
